Time,Ax,Ay,Fx_WC_L1,Fx_WC_L2,Fx_WC_R1,Fx_WC_R2,Fy_WC_L1,Fy_WC_L2,Fy_WC_R1,Fy_WC_R2,Fz_WC_L1,Fz_WC_L2,Fz_WC_R1,Fz_WC_R2,Mx_WC_L1,Mx_WC_L2,Mx_WC_R1,Mx_WC_R2,My_WC_L1,My_WC_L2,My_WC_R1,My_WC_R2,Mz_WC_L1,Mz_WC_L2,Mz_WC_R1,Mz_WC_R2
0, -0.01264086431422, 0.001433333266844, -1.785305958063, 8.124833710371, -1.155928513457, 8.098123123053, -7.232652866811, -14.98861999245, 7.970172365684, 16.28820179833, 910.1675180585, 725.4051490744, 889.22008916, 698.7272307417, 3.433351194361, 2.506066534765, -3.002235709485, -1.727850292933, -2.794688965355, -2.781508331974, -2.798087499249, -2.751875335297, 0.5509548567626, 1.669175623534, -0.5307181498458, -1.594024592166
0.025, -0.0288411055854, 0.0006807511537057, -17.59452684052, -3.500521845697, -16.77376654492, -3.071823658409, -37.03286633405, -13.55461241381, 36.40011888319, 14.06187680049, 936.7419721711, 728.769409366, 904.3459566862, 701.0378971924, -4.731130213482, 2.941772354237, 4.862101418584, -2.372308038333, 1.433246823152, 0.3900038698713, 1.420009760843, 0.2979551188973, 0.8590830407401, 1.654179182776, -0.8237425912039, -1.568959005136
0.05, -0.03159967438793, 0.0007545722430493, -12.67541528438, -13.29029059854, -11.80342799947, -12.60525827454, -44.71299483459, -14.98740671748, 44.590748647, 15.24781961096, 943.4817673512, 731.8605351476, 910.1803444917, 704.3709113119, -6.841542188353, 2.568995562668, 7.122767396894, -2.069727320192, 0.06943830585643, 3.05793493152, 0.04586554934719, 2.897534456404, 0.9510385527528, 1.674904375629, -0.9186413700769, -1.58534481329
0.075, -0.04127078567598, -0.0003142313325815, -13.54613035824, -28.61697128473, -12.76387358369, -27.93987316241, -46.46403516706, -16.33652887944, 44.997704149, 14.3244663552, 947.1068579005, 729.7876599499, 916.0280606144, 704.925884666, -7.313173134235, 2.170937626671, 7.202639835765, -2.334488371414, 0.2809494463087, 7.238409531162, 0.2746116122611, 7.080734055016, 0.9682609782288, 1.687717763381, -0.9229114600118, -1.576571203393
0.1, -0.05038570777101, -0.0005582036074661, -13.27621878038, -44.29151337618, -12.49752857878, -43.52864054514, -46.60634522372, -16.91432824763, 45.1676441067, 14.13537424415, 951.6301139771, 726.3026957638, 918.1438551091, 699.4052483749, -7.327060374678, 1.977481061335, 7.241852365568, -2.336012346014, 0.1707995538791, 11.51021762663, 0.1754067828738, 11.3340701052, 0.9674482572395, 1.691991817156, -0.9224334433754, -1.569529383144
0.125, -0.0583525192043, -0.0005880420313995, -13.25375273342, -57.9144148277, -12.40536315596, -57.00322407204, -46.5579950615, -17.33748332013, 45.35457974937, 14.27119799254, 954.6953847302, 720.4746969733, 920.0006200148, 692.5672113115, -7.297293033004, 1.805029964013, 7.286781468559, -2.234605861541, 0.1273528312898, 15.22060404594, 0.1190383829369, 15.00796102217, 0.9649198260976, 1.692921375535, -0.9215297886374, -1.564701002958
0.15, -0.06433784204765, -0.00113143602633, -13.2301633635, -68.15138309828, -12.39558724017, -67.21975177428, -46.98542564502, -18.16454224642, 45.06604829285, 13.98638217805, 956.2819681892, 714.5195132518, 922.5076999586, 687.6621465701, -7.410652963688, 1.517508026053, 7.193586250022, -2.269455681417, 0.088049060295, 18.00636915417, 0.08152837148504, 17.78937167442, 0.967023083889, 1.697095004731, -0.9163120229034, -1.557865846172
0.175, -0.06804286100535, -0.001385414525571, -13.23557151564, -74.54497725059, -12.4166045963, -73.60273653576, -47.18165556225, -18.6220844889, 45.01992843256, 13.85751300855, 958.3819574506, 712.2823406583, 923.6420316842, 684.7579341158, -7.455056168365, 1.36906028867, 7.177592385348, -2.278188167824, 0.05824392434767, 19.74092193995, 0.06105330667124, 19.5235793295, 0.9669604191252, 1.700639120366, -0.9137089534621, -1.553879104533
0.2, -0.06948144144663, -0.001420551942932, -13.29105459659, -77.13203664221, -12.43454377848, -76.13617893678, -47.2369346816, -18.74630099358, 45.12988395139, 13.81570025727, 959.9434514711, 712.6177229541, 924.2798935417, 684.4289818575, -7.463240105024, 1.338182338672, 7.208157695618, -2.286079736571, 0.05003584266939, 20.43671427329, 0.04752369693072, 20.20645819859, 0.9660407510319, 1.702977306973, -0.9127779635376, -1.552704996877
0.225, -0.06890145587214, -0.001686455081879, -13.34411270064, -76.27327245733, -12.48735913789, -75.28269354085, -47.53119719512, -18.97080897048, 45.02883369656, 13.51458420226, 960.180428285, 713.6808364312, 924.9312933679, 685.9060916426, -7.54677984963, 1.285583703179, 7.178628219695, -2.383692463877, 0.05263835143787, 20.19453499835, 0.0495222497356, 19.96529827075, 0.9679308451251, 1.706557447959, -0.9103135209416, -1.550764165618
0.25, -0.06672036187802, -0.001877923811897, -13.39695304937, -72.69125796605, -12.55452127901, -71.72351630954, -47.79279289487, -19.08540891258, 44.99986011402, 13.26087662894, 959.9152014132, 715.4555993762, 924.5452537282, 687.3699286639, -7.623434874303, 1.270604255714, 7.175329212406, -2.467720211348, 0.06301316945886, 19.2113431752, 0.06492321851177, 18.9882528968, 0.9699897243862, 1.709625227943, -0.9091685509973, -1.549221837188
0.275, -0.06341464519354, -0.001915457732602, -13.46069579104, -67.2092806532, -12.60835560437, -66.24318531318, -47.95724370927, -19.03969465352, 45.09337215388, 13.14735990876, 959.0268232126, 717.5279061872, 923.409097586, 688.8038790681, -7.675935067541, 1.303281965636, 7.21010156772, -2.512187315241, 0.08396840671838, 17.71209092955, 0.08447175471171, 17.48925919499, 0.9717703377171, 1.711330880233, -0.9097500404444, -1.549003151726
0.3, -0.05942368777838, -0.002009198238871, -13.51361531796, -60.54568101811, -12.65946561151, -59.60556871407, -48.18058215974, -19.02633417551, 45.12397455722, 12.99185139603, 957.3347896865, 719.3067042212, 922.0008171969, 690.6471580281, -7.749239081414, 1.323827085136, 7.227667903, -2.572484084838, 0.1096262156007, 15.89322787832, 0.1084901523231, 15.6760856628, 0.9746916560634, 1.712882364354, -0.9103495168827, -1.548870988528
0.325, -0.05512222870219, -0.00208518826032, -13.54297074589, -53.34013832346, -12.70024748398, -52.44265748782, -48.37442162222, -18.9952774524, 45.15777131903, 12.85944765282, 955.0027170426, 720.9294912324, 919.6885726001, 692.4097533564, -7.817502921826, 1.347801897292, 7.251068705506, -2.625633000638, 0.1347554400223, 13.92869012748, 0.1361434073608, 13.72153623058, 0.9777344180828, 1.713990985872, -0.9115225560068, -1.548929916729
0.35, -0.05080531919002, -0.002044046277337, -13.56958754335, -46.10142847524, -12.72674369818, -45.23376686935, -48.45708489324, -18.86810508659, 45.27043855766, 12.83788206809, 952.2589139492, 722.4607659104, 916.8056090127, 693.9186976186, -7.856748951896, 1.397878898566, 7.299718591185, -2.645356048784, 0.1624786194524, 11.95645465069, 0.1637464081296, 11.75592398261, 0.9799409440508, 1.71400740535, -0.9137245946022, -1.549834974658
